customer_name,total_sales
"Cassandra Brandow",6028.226999999999
"William Brown",6024.81
"Robert Marley",5967.736
"Keith Herrera",5952.859000000002
"Shirley Daniels",5920.258
"Ben Ferrer",5907.972
"Shahid Collister",5894.183999999999
"Christine Phan",5888.275000000001
"Kristen Hastings",5867.859
"Cindy Stewart",5690.054999999999
"Bill Donatelli",5672.171
"Anne McFarland",5653.861999999999
"Ross Baird",5633.315999999999
"Katherine Murray",5609.746
"Alex Avila",5563.56
"Suzanne McNair",5563.392
"Naresj Patel",5529.62
"Amy Cox",5527.8460000000005
"Mick Hernandez",5503.092999999999
"Dennis Pardue",5480.723999999999
"Emily Phan",5478.0608
"Yoseph Carroll",5454.35
"Stefania Perrino",5440.319
"Luke Weiss",5420.513999999999
"Thomas Seio",5371.09
"Tonja Turnell",5364.808000000001
"Mitch Webber",5341.9
"Tom Prescott",5329.0048
"Dianna Wilson",5256.848
"Mitch Willingham",5253.876
"Harold Ryan",5248.786999999999
"Steven Cartwright",5226.209999999998
"Tamara Willingham",5164.626
"Cathy Prescott",5164.101999999999
"Lena Radford",5142.891999999999
"Resi Pölking",5142.139999999999
"Mike Pelletier",5087.92
"Ivan Liston",5040.736
"Laurel Beltran",4985.676
"Dave Hallsten",4932.871999999999
"Irene Maddox",4930.473999999999
"Ted Trevino",4915.602
"Kunst Miller",4909.472000000001
"Philisse Overcash",4893.043000000001
"Heather Kirkland",4877.784
"Anthony Jacobs",4867.344
"Alan Hwang",4805.344
"Russell Applegate",4781.367000000001
"Joe Kamberova",4769.900000000001
"Jim Kriz",4752.442000000001
"Bart Watters",4750.357999999999
"Tracy Blumstein",4730.628
"Sue Ann Reed",4708.525500000001
"Erin Smith",4648.516
"Kean Thornton",4642.088400000001
"Sample Company A",4624.572000000001
"Deborah Brumfield",4621.656999999999
"Giulietta Baptist",4594.328
"Rick Bensley",4556.566000000002
"Anthony Rawles",4523.335999999999
"Arthur Gainer",4510.7970000000005
"Stewart Carmichael",4492.656999999999
"Kelly Lampkin",4483.784
"Linda Cazamias",4481.162
"Anna Andreadi",4455.895
"Theone Pippenger",4454.056
"Eugene Moren",4438.331999999999
"Mark Cousins",4432.138
"Katrina Willman",4416.52
"Bradley Drucker",4408.2970000000005
"Anthony Johnson",4391.491
"Arianne Irving",4375.785999999999
"Scot Coram",4371.9580000000005
"Gary Zandusky",4355.15
"Steven Roelle",4345.8859999999995
"Ellis Ballard",4344.508
"Natalie DeCherney",4281.389
"Matt Abelman",4280.620999999999
"Jamie Kunitz",4278.17
"Dave Brooks",4265.294000000002
"Toby Carlisle",4261.852
"Alan Schoenberger",4249
"Tracy Hopkins",4229.5560000000005
"Bill Eplett",4204.6759999999995
"Jill Fjeld",4198.332
"Frank Hawley",4190.704
"Muhammed Yedwab",4134.396000000001
"Dean Katz",4125.843999999999
"Claudia Bergmann",4123.5154999999995
"Peter McVee",4115.662
"Stewart Visinsky",4105.305
"Denise Monton",4074.4720000000007
"Frank Preis",4046.7460000000005
"Sung Pak",4028.588
"Susan Pistek",3990.6890000000003
"Craig Molinari",3984.4524
"Michael Paige",3983.6420000000003
"Sean Christensen",3971.0639999999994
"Dana Kaydos",3943.0399999999995
"Luke Foster",3930.509
"Gary Hwang",3925.742
"George Ashbrook",3919.7760000000003
"Ken Heidel",3918.966
"Dorothy Badders",3908.8028
"Kelly Collister",3908.2619999999997
"Chris Cortes",3902.522
"Nora Paige",3896.6420000000003
"Pierre Wener",3878.3149999999996
"John Stevenson",3868.02
"Fred Chung",3865.845999999999
"Ruben Ausman",3832.3139999999994
"Roland Schwarz",3831.93
"Annie Thurman",3831.8640000000005
"Olvera Toch",3818.6240000000003
"Rose O'Brian",3815.478
"Michael Chen",3805.714000000001
"Michael Moore",3794.08
"Carol Adams",3789.7228
"Matthew Grinstein",3785.276
"Sanjit Jacobs",3777.8799999999997
"Maribeth Dona",3766.382
"Jim Karlsson",3760.028
"Juliana Krohn",3747.6680000000006
"Rick Duston",3743.03
"Frank Merwin",3736.1979999999994
"Scott Cohen",3729.7929999999997
"Hunter Glantz",3690.284
"Liz Preis",3653.3990000000003
"Christopher Schild",3651.8585000000007
"Rick Hansen",3621.3759999999997
"Ben Peterman",3610.2929999999997
"Sam Zeldin",3592.433
"Gary McGarr",3582.8199999999997
"Thomas Boland",3579.024
"Jeremy Pistek",3572.9440000000004
"Dionis Lloyd",3539.322
"Erica Smith",3510.4579999999996
"Robert Waldorf",3495.646
"Anna Gayman",3489.0395999999996
"Emily Ducich",3484.92
"Pauline Webber",3454.916
"Ed Braxton",3448.2740000000003
"Sarah Foster",3422.785999999999
"Frank Carlisle",3414.678
"Sandra Glassco",3406.581
"Bill Stewart",3379.1299999999997
"Trudy Schmidt",3368.093999999999
"Sam Craven",3362.9635999999996
"Doug Jacobs",3356.3979999999997
"Dan Campbell",3336.1680000000006
"Arthur Prichep",3323.556
"Dennis Kane",3318.4859999999994
"Katharine Harms",3312.864
"Randy Ferguson",3309.1500000000005
"Sylvia Foulston",3306.871
"Rick Reed",3302.262
"Brian Dahlen",3288.471
"Brian Stugart",3288.11
"Dianna Vittorini",3285.9870000000005
"Rob Williams",3273.6499999999996
"Daniel Lacy",3272.2000000000003
"Adam Shillingsburg",3255.3099999999995
"Jack O'Briant",3254.9490000000005
"Damala Kotsonis",3253.5340000000006
"Adam Hart",3250.336999999999
"Lindsay Castell",3246.626
"Carol Triggs",3241.898000000001
"Sharelle Roach",3233.481
"Lindsay Williams",3230.308
"Ricardo Sperren",3221.29
"Alejandro Savely",3212.272
"Mark Packer",3206.132
"Christine Sundaresam",3202.1620000000003
"Brian Thompson",3196.7520000000004
"Deirdre Greer",3195.818
"Victoria Pisteka",3193.6059999999998
"Henry Goldwyn",3184.1739999999995
"Edward Becker",3166.882
"Greg Matthias",3163.628
"Chloris Kastensmidt",3154.855
"Karen Bern",3152.615
"Janet Martin",3145.3740000000003
"Jeremy Lonsdale",3142.746
"Maxwell Schwartz",3138.5819999999994
"Ruben Dartt",3133.9239999999995
"Tanja Norvell",3130.221
"Steve Nguyen",3127.9592000000007
"Speros Goranitis",3116.9760000000006
"Katherine Hughes",3100.6119999999996
"Patrick Gardner",3086.907
"Gary Mitchum",3078.6240000000003
"Eugene Barchas",3071.1259999999997
"Toby Gnade",3058.3720000000003
"Kean Takahito",3057.1
"Shahid Shariari",3056.807
"Sara Luxemburg",3053.012000000001
"Cynthia Arntzen",3041.5659999999993
"Aaron Smayling",3035.0320000000006
"Carlos Soltero",3027.7549999999997
"Eugene Hildebrand",3013.1530000000002
"Lindsay Shagiari",2988.674
"Michelle Huthwaite",2984.9480000000003
"Frank Atkinson",2984.053999999999
"Noel Staavos",2964.8229999999994
"Tamara Manning",2953.986
"Thea Hudgings",2942.772
"Christine Kargatis",2939.606
"Liz Thompson",2936.2519999999995
"Becky Castell",2933.6759999999995
"Julie Kriz",2932.4840000000004
"David Bremer",2931.718
"Shaun Weien",2921.544
"Maris LaWare",2921.499999999999
"Rob Dowd",2912.8940000000002
"Craig Yedwab",2900.026
"Neil Ducich",2893.455
"Mike Gockenbach",2890.591
"Meg Tillman",2890.139
"David Smith",2881.8128
"Paul Van Hugh",2876.0460000000003
"Chuck Clark",2870.0500000000006
"Barry Französisch",2865.786
