customer_name,total_sales,customer_rank
"Arianne Irving",4375.785999999999,149
"Scot Coram",4371.9580000000005,150
"Gary Zandusky",4355.15,151
"Steven Roelle",4345.8859999999995,152
"Ellis Ballard",4344.508,153
"Natalie DeCherney",4281.389,154
"Matt Abelman",4280.620999999999,155
"Jamie Kunitz",4278.17,156
"Dave Brooks",4265.294000000002,157
"Toby Carlisle",4261.852,158
"Alan Schoenberger",4249,159
"Tracy Hopkins",4229.5560000000005,160
"Bill Eplett",4204.6759999999995,161
"Jill Fjeld",4198.332,162
"Frank Hawley",4190.704,163
"Muhammed Yedwab",4134.396000000001,164
"Dean Katz",4125.843999999999,165
"Claudia Bergmann",4123.5154999999995,166
"Peter McVee",4115.662,167
"Stewart Visinsky",4105.305,168
"Denise Monton",4074.4720000000007,169
"Frank Preis",4046.7460000000005,170
"Sung Pak",4028.588,171
"Susan Pistek",3990.6890000000003,172
"Craig Molinari",3984.4524,173
"Michael Paige",3983.6420000000003,174
"Sean Christensen",3971.0639999999994,175
"Dana Kaydos",3943.0399999999995,176
"Luke Foster",3930.509,177
"Gary Hwang",3925.742,178
"George Ashbrook",3919.7760000000003,179
"Ken Heidel",3918.966,180
"Dorothy Badders",3908.8028,181
"Kelly Collister",3908.2619999999997,182
"Chris Cortes",3902.522,183
"Nora Paige",3896.6420000000003,184
"Pierre Wener",3878.3149999999996,185
"John Stevenson",3868.02,186
"Fred Chung",3865.845999999999,187
"Ruben Ausman",3832.3139999999994,188
"Roland Schwarz",3831.93,189
"Annie Thurman",3831.8640000000005,190
"Olvera Toch",3818.6240000000003,191
"Rose O'Brian",3815.478,192
"Michael Chen",3805.714000000001,193
"Michael Moore",3794.08,194
"Carol Adams",3789.7228,195
"Matthew Grinstein",3785.276,196
"Sanjit Jacobs",3777.8799999999997,197
"Maribeth Dona",3766.382,198
"Jim Karlsson",3760.028,199
"Juliana Krohn",3747.6680000000006,200
"Rick Duston",3743.03,201
"Frank Merwin",3736.1979999999994,202
"Scott Cohen",3729.7929999999997,203
"Hunter Glantz",3690.284,204
"Liz Preis",3653.3990000000003,205
"Christopher Schild",3651.8585000000007,206
"Rick Hansen",3621.3759999999997,207
"Ben Peterman",3610.2929999999997,208
"Sam Zeldin",3592.433,209
"Gary McGarr",3582.8199999999997,210
"Thomas Boland",3579.024,211
"Jeremy Pistek",3572.9440000000004,212
"Dionis Lloyd",3539.322,213
"Erica Smith",3510.4579999999996,214
"Robert Waldorf",3495.646,215
"Anna Gayman",3489.0395999999996,216
"Emily Ducich",3484.92,217
"Pauline Webber",3454.916,218
"Ed Braxton",3448.2740000000003,219
"Sarah Foster",3422.785999999999,220
"Frank Carlisle",3414.678,221
"Sandra Glassco",3406.581,222
"Bill Stewart",3379.1299999999997,223
"Trudy Schmidt",3368.093999999999,224
"Sam Craven",3362.9635999999996,225
"Doug Jacobs",3356.3979999999997,226
"Dan Campbell",3336.1680000000006,227
"Arthur Prichep",3323.556,228
"Dennis Kane",3318.4859999999994,229
"Katharine Harms",3312.864,230
"Randy Ferguson",3309.1500000000005,231
"Sylvia Foulston",3306.871,232
"Rick Reed",3302.262,233
"Brian Dahlen",3288.471,234
"Brian Stugart",3288.11,235
"Dianna Vittorini",3285.9870000000005,236
"Rob Williams",3273.6499999999996,237
"Daniel Lacy",3272.2000000000003,238
"Adam Shillingsburg",3255.3099999999995,239
"Jack O'Briant",3254.9490000000005,240
"Damala Kotsonis",3253.5340000000006,241
"Adam Hart",3250.336999999999,242
"Lindsay Castell",3246.626,243
"Carol Triggs",3241.898000000001,244
"Sharelle Roach",3233.481,245
"Lindsay Williams",3230.308,246
"Ricardo Sperren",3221.29,247
"Alejandro Savely",3212.272,248
"Mark Packer",3206.132,249
"Christine Sundaresam",3202.1620000000003,250
"Brian Thompson",3196.7520000000004,251
"Deirdre Greer",3195.818,252
"Victoria Pisteka",3193.6059999999998,253
"Henry Goldwyn",3184.1739999999995,254
"Edward Becker",3166.882,255
"Greg Matthias",3163.628,256
"Chloris Kastensmidt",3154.855,257
"Karen Bern",3152.615,258
"Janet Martin",3145.3740000000003,259
"Jeremy Lonsdale",3142.746,260
"Maxwell Schwartz",3138.5819999999994,261
"Ruben Dartt",3133.9239999999995,262
"Tanja Norvell",3130.221,263
"Steve Nguyen",3127.9592000000007,264
"Speros Goranitis",3116.9760000000006,265
"Katherine Hughes",3100.6119999999996,266
"Patrick Gardner",3086.907,267
"Gary Mitchum",3078.6240000000003,268
"Eugene Barchas",3071.1259999999997,269
"Toby Gnade",3058.3720000000003,270
"Kean Takahito",3057.1,271
"Shahid Shariari",3056.807,272
"Sara Luxemburg",3053.012000000001,273
"Cynthia Arntzen",3041.5659999999993,274
"Aaron Smayling",3035.0320000000006,275
"Carlos Soltero",3027.7549999999997,276
"Eugene Hildebrand",3013.1530000000002,277
"Lindsay Shagiari",2988.674,278
"Michelle Huthwaite",2984.9480000000003,279
"Frank Atkinson",2984.053999999999,280
"Noel Staavos",2964.8229999999994,281
"Tamara Manning",2953.986,282
"Thea Hudgings",2942.772,283
"Christine Kargatis",2939.606,284
"Liz Thompson",2936.2519999999995,285
"Becky Castell",2933.6759999999995,286
"Julie Kriz",2932.4840000000004,287
"David Bremer",2931.718,288
"Shaun Weien",2921.544,289
"Maris LaWare",2921.499999999999,290
"Rob Dowd",2912.8940000000002,291
"Craig Yedwab",2900.026,292
"Neil Ducich",2893.455,293
"Mike Gockenbach",2890.591,294
"Meg Tillman",2890.139,295
"David Smith",2881.8128,296
"Paul Van Hugh",2876.0460000000003,297
"Chuck Clark",2870.0500000000006,298
"Barry Französisch",2865.786,299
"Craig Carroll",2854.1150000000007,300
"Arthur Wiediger",2851.4440000000004,301
"Ionia McGrath",2848.36,302
"Linda Southworth",2845.27,303
"Darren Budd",2839.2272000000003,304
"Justin MacKendrick",2833.9260000000004,305
"Christina VanderZanden",2830.6279999999997,306
"Gary Hansen",2807.7070000000003,307
"Troy Staebel",2801.8840000000005,308
"Barry Gonzalez",2798.948,309
"Trudy Brown",2797.668,310
"Robert Dilbeck",2786.6319999999996,311
"Sally Hughsby",2774.2394999999997,312
"John Castell",2772.0550000000007,313
"Philip Fox",2770,314
"Emily Burns",2767.219,315
"Michelle Moray",2749.881,316
"Ken Black",2742.7580000000003,317
"Lauren Leatherbury",2741.204,318
"John Lucas",2725.2560000000003,319
"Marc Crier",2723.036,320
"Marina Lichtenstein",2722.843,321
"Jay Kimmel",2709.632,322
"Justin Ellison",2697.248,323
"Chris Selesnick",2696.7959999999994,324
"Bradley Talbott",2684.492,325
"Nicole Hansen",2673.2899999999995,326
"Richard Bierner",2663.0860000000002,327
"Erin Ashbrook",2660.8250000000007,328
"Eva Jacobs",2656.691,329
"Dave Kipp",2650.557,330
"Christina Anderson",2648.2871999999998,331
"Frank Olsen",2622.838,332
"Katherine Nockton",2617.2720000000004,333
"Ralph Arnett",2606.0820000000003,334
"Logan Currie",2605.1120000000005,335
"Sean O'Donnell",2602.575500000001,336
"Stephanie Ulpright",2595.3640000000005,337
"Bill Overfelt",2586.08,338
"Helen Andreada",2584.1580000000004,339
"Steve Chapman",2576.408,340
"Neola Schneider",2575.863,341
"Beth Thompson",2567.656,342
"Eleni McCrary",2567.01,343
"Alejandro Grove",2565.2579999999994,344
"Mary Zewe",2564.906,345
"Corey Catlett",2540.631,346
"Charles McCrossin",2533.314,347
"Herbert Flentye",2533.164,348
"Lena Cacioppo",2526.182,349
"Fred McMath",2523.2659999999996,350
"Joy Smith",2516.4939999999997,351
"Don Jones",2501.688,352
"Ann Chong",2499.7560000000003,353
"Patrick O'Donnell",2493.2140000000004,354
"Bruce Stewart",2492.3500000000004,355
"Nick Zandusky",2488.31,356
"Charles Crestani",2471.6500000000005,357
"Michael Nguyen",2469.0420000000004,358
"Nat Carroll",2461.404000000001,359
"Mark Hamilton",2456.182,360
"Brendan Sweed",2454.9280000000003,361
"Valerie Mitchum",2454.866,362
"George Zrebassa",2454.6220000000003,363
"Michelle Arnett",2453.284,364
"Thea Hendricks",2422.824,365
"Amy Hunt",2406.4316000000003,366
"Bart Pistole",2399.54,367
"David Flashing",2390.534,368
"Beth Paige",2383.7970000000005,369
"Marc Harrigan",2381.7309999999998,370
"Filia McAdams",2374.27,371
"Clytie Kelty",2372.7500000000005,372
"Jennifer Ferguson",2371.448,373
"Cynthia Voltz",2370.3136,374
"Matt Collister",2362.5069999999996,375
"Jack Garza",2358.676,376
"Craig Leslie",2353.586,377
"Maureen Gastineau",2350.188,378
"Roland Fjeld",2341.2960000000003,379
"Andrew Gjertsen",2338.679,380
"Elizabeth Moffitt",2324.358,381
"Xylona Preis",2320.4080000000004,382
"Michael Kennedy",2302.3680000000004,383
"Lena Hernandez",2295.3320000000003,384
"Chris McAfee",2287.172,385
"Jamie Frazer",2279.5860000000002,386
"Fred Harton",2271.284,387
"Craig Carreira",2269.7015000000006,388
"Bobby Elias",2261.438,389
"Matt Connell",2258.192,390
"Justin Hirsh",2256.3940000000002,391
"Ken Dana",2243.5099999999998,392
"Tony Sayre",2243.274,393
"Maribeth Yedwab",2242.6119999999996,394
"Laurel Workman",2238.0609999999997,395
"Allen Rosenblatt",2236.128,396
"Nathan Cano",2218.99,397
"Mick Crebagga",2218.98,398
"Greg Guthrie",2216.0080000000007,399
"Phillip Flathmann",2206.1279999999997,400
"Dean Braden",2204.829,401
"Maya Herman",2203.7780000000002,402
"Janet Lee",2203.7,403
"Justin Ritter",2201.6859999999997,404
"Toby Braunhardt",2198.45,405
"Jason Gross",2197.7960000000003,406
"Giulietta Weimer",2189.0190000000007,407
"Nick Radford",2184.337,408
"Bill Tyler",2182.1940000000004,409
"Pamela Stobb",2181.479,410
"Shahid Hopkins",2180.718,411
"Kean Nguyen",2171.962,412
"Daniel Byrd",2171.599,413
"Roy Phan",2170.716000000001,414
"Dave Poirier",2164.89,415
"Helen Abelman",2163.3,416
"Ed Jacobs",2162.174,417
"John Dryer",2152.3520000000003,418
"Clay Rozendal",2148.852,419
"Kristina Nunn",2148.03,420
"Duane Noonan",2139.7900000000004,421
"Edward Nazzal",2138.246,422
"Kalyca Meade",2134.248,423
"Neoma Murray",2123.347,424
"Karen Carlisle",2103.8340000000003,425
"Stefanie Holloman",2096.392,426
"Rob Haberlin",2085.7400000000002,427
"Trudy Glocke",2074.661,428
"Max Ludwig",2071.914,429
"Roger Barcio",2067.45,430
"Liz Carlisle",2064.504,431
"Tom Stivers",2054.14,432
"Art Ferguson",2052.9080000000004,433
"Carlos Daly",2033.968,434
"Nicole Fjeld",2031.472,435
"Denny Joy",2012.5200000000002,436
"Victoria Brennan",2005.5959999999998,437
"Harold Pawlan",1990.314,438
"Doug Bickford",1989.05,439
"Paul Gonzalez",1987.1640000000002,440
"Nona Balk",1972.599,441
"Scott Williamson",1966.65,442
"Lisa DeCherney",1961.934,443
"Tracy Poddar",1936.6399999999996,444
"Jay Fein",1911.844,445
"Jas O'Carroll",1911.5520000000001,446
"Max Engle",1908.4532,447
"Susan Vittorini",1903.491,448
"Katherine Ducich",1888.964,449
"Giulietta Dortch",1888.0700000000002,450
"Sheri Gordon",1884.7980000000002,451
"Shaun Chance",1874.998,452
"Brooke Gillingham",1874.172,453
"Nat Gilpin",1869.58,454
"Cynthia Delaney",1860.732,455
"Skye Norling",1860.418,456
"Christy Brittain",1856.26,457
"Julia Barnett",1841.651,458
"Patrick Ryan",1840.1779999999997,459
"Ashley Jarboe",1839.2400000000002,460
"Pamela Coakley",1832.064,461
"Emily Grady",1832.02,462
"Lisa Ryan",1831.386,463
"Pauline Johnson",1824.2340000000002,464
"Noah Childs",1821.7420000000002,465
"Janet Molinari",1804.1460000000002,466
"Jennifer Braxton",1791.605,467
"Andrew Allen",1782.872,468
"Chad Cunningham",1765.23,469
"Darrin Sayre",1762.2130000000002,470
"Aaron Hawkins",1744.6999999999998,471
"Valerie Takahito",1736.596,472
"Adrian Hane",1735.5140000000001,473
"Mike Vittorini",1734.5739999999998,474
"Jessica Myrick",1733.4430000000002,475
"Brad Eason",1727.652,476
"Ben Wallace",1726.2300000000002,477
"Julie Prescott",1707.7099999999998,478
"Tracy Zic",1707.2860000000003,479
"Denny Blanton",1702.5480000000002,480
"Becky Pak",1692.146,481
"Darren Koutras",1687.04,482
"Ryan Akin",1686.9225000000004,483
"Cathy Armstrong",1679.724,484
"Candace McMahon",1673.8880000000001,485
"Logan Haushalter",1660.3049999999998,486
"Cindy Chapman",1659.438,487
"Jennifer Patt",1653.5830000000003,488
"Chad McGuire",1643.97,489
"Erica Bern",1643.255,490
"Anne Pryor",1638.5539999999999,491
"Katrina Edelman",1626.6832000000004,492
"Annie Zypern",1622.018,493
"Maurice Satty",1613.402,494
"Craig Reiter",1600.55,495
"Stephanie Phelps",1598.516,496
"Deanra Eno",1588.464,497
"Alan Haines",1587.452,498
"Benjamin Farhat",1585.162,499
"Cyma Kinney",1582.1090000000004,500
"Mike Caudle",1581.9979999999998,501
"Monica Federle",1575.36,502
"James Lanier",1571.523,503
"Tim Brockman",1569.5919999999999,504
"Karl Braun",1569.4640000000002,505
"Theresa Swint",1568.244,506
"Odella Nelson",1567.52,507
"Mark Van Huff",1542.4099999999999,508
"Brian DeCherney",1538.1099999999997,509
"Cathy Hwang",1537.2360000000003,510
"Bruce Degenhardt",1526.5,511
"Benjamin Venier",1523.2730000000001,512
"Kelly Andreada",1519.506,513
"Ann Blume",1515.862,514
"John Grady",1507.0180000000003,515
"Zuschuss Donatelli",1493.944,516
"Dan Lawera",1490.818,517
"Charlotte Melton",1475.1440000000002,518
"Laurel Elliston",1469.4500000000003,519
"Ted Butterfield",1467.881,520
"Parhena Norris",1467.152,521
"Bradley Nguyen",1459.344,522
"Philip Brown",1456.9499999999998,523
"Raymond Messe",1453.474,524
"Andy Gerbode",1448.9419999999998,525
"Ralph Kennedy",1448.0000000000002,526
"Delfina Latchford",1446.0660000000003,527
"Paul Knutson",1441.152,528
"Tamara Dahlen",1434.5480000000002,529
"Julia West",1428.731,530
"Mick Brown",1428.231,531
"Maria Bertelson",1427.3259999999996,532
"Thomas Thornton",1427.044,533
"Roger Demir",1419.7370000000003,534
"Nancy Lomonaco",1418.0900000000001,535
"Paul MacIntyre",1405.402,536
"Christine Abelman",1401.0739999999998,537
"Meg O'Connel",1396.3229999999999,538
"Nathan Gelder",1395.938,539
"Jeremy Ellison",1388.682,540
"Troy Blackwell",1387.559,541
"Frank Gastineau",1383.1440000000002,542
"Cyra Reiten",1380.8324,543
"Don Miller",1376.792,544
"Gene Hale",1361.2440000000001,545
"George Bell",1356.48,546
"Liz MacKendrick",1346.774,547
"Maureen Gnade",1342.282,548
"Sarah Jordon",1339.072,549
"Bryan Mills",1335.896,550
"Barry Franz",1333.88,551
"Sarah Bern",1323.432,552
"Dario Medina",1322.034,553
"Michelle Tran",1319.4497999999999,554
"Magdelene Morse",1314.0230000000001,555
"Sibella Parks",1306.0859999999998,556
"Eileen Kiefer",1303.478,557
Corey-Lock,1300.076,558
"Hallie Redmond",1299.2879999999998,559
"Saphhira Shifley",1289.548,560
"Georgia Rosenberg",1284.38,561
"Paul Stevenson",1278.6390000000001,562
"Stuart Van",1271.0900000000004,563
"Cari Sayre",1267.194,564
"Liz Willingham",1259.04,565
"Michelle Ellison",1256.944,566
"Gene McClure",1255.6819999999998,567
"Steve Carroll",1254.64,568
"Matt Hagelstein",1252.8,569
"Elpida Rittenbach",1245.788,570
"Joni Wasserman",1244.086,571
"Michael Grace",1242.833,572
"Nora Pelletier",1228.698,573
"Patrick Jones",1220.0900000000001,574
"Erica Hernandez",1219.5299999999997,575
"Jack Lebron",1214.9560000000001,576
"Michael Dominguez",1204.9099999999999,577
"Dorothy Wardle",1204.854,578
"Denny Ordway",1197.3115000000003,579
"Shirley Jackson",1190.3759999999997,580
"Evan Bailliet",1186.326,581
"Jill Stevenson",1181.734,582
"Benjamin Patterson",1181.4900000000002,583
"Debra Catini",1174.618,584
"Alyssa Tate",1171.8139999999999,585
"Jim Radford",1156.658,586
"Duane Benoit",1155.2019999999998,587
"Claire Gute",1148.7800000000002,588
"Kimberly Carter",1146.0500000000002,589
"Ross DeVincentis",1137.6159999999998,590
"Carl Weiss",1136.592,591
"Jim Sink",1131.0639999999999,592
"Darrin Van Huff",1119.4830000000002,593
"Alan Barnes",1113.838,594
"Christina DeMoss",1104.184,595
"Tony Chapman",1103.0159999999998,596
"Carl Ludwig",1098.43,597
"Tony Molinari",1094.6779999999999,598
"Jesus Ocampo",1088.358,599
"Jeremy Farry",1082.918,600
"Dennis Bolton",1081.466,601
"David Wiener",1080.751,602
"Cindy Schnelling",1070.3885,603
"Pauline Chand",1061.488,604
"David Philippe",1058.616,605
"Phillina Ober",1056.8580000000002,606
"Allen Armold",1056.39,607
"Vivek Sundaresam",1055.9809999999998,608
"Alex Russell",1055.694,609
"Duane Huffman",1043.096,610
"Susan MacKendrick",1043.0410000000002,611
"Eudokia Martin",1041.042,612
"Theresa Coyne",1038.26,613
"Darren Powers",1034.188,614
"Mike Kennedy",1031.6019999999999,615
"Tiffany House",1022.2010000000001,616
"Sean Wendt",1019.0439999999998,617
"Randy Bradley",1008.1959999999999,618
"Lynn Smith",1008.1359999999999,619
"Bruce Geld",1006.356,620
"Luke Schmidt",998.032,621
"Victor Preis",993.9019999999999,622
"Guy Armstrong",975.566,623
"Ken Brennan",974.214,624
"Doug O'Connell",972.26,625
"Toby Swindell",971.7339999999999,626
"Russell D'Ascenzo",970.9420000000001,627
"Aimee Bixby",966.7099999999998,628
"Roy Collins",966.4089999999999,629
"Barry Pond",961.1799999999998,630
"Jonathan Howell",959.4770000000002,631
"Jason Fortune-",955.124,632
"Rachel Payne",954.6451999999999,633
"Bryan Spruell",949.43,634
"Eric Barreto",944.6000000000001,635
"Maureen Fritzler",937.039,636
"Eric Murdock",933.704,637
"Matt Collins",925.5649999999999,638
"Scot Wooten",925.1980000000001,639
"Mary O'Rourke",922.487,640
"Roy Französisch",915.662,641
"Evan Henry",910.186,642
"Katrina Bavinger",908.8209999999999,643
"Sonia Cooley",902.7280000000001,644
"Joni Blumstein",900.552,645
"Alejandro Ballentine",898.084,646
"Alyssa Crouse",891.56,647
"Henia Zydlo",886.5199999999999,648
"Aaron Bergman",886.156,649
"Chad Sievert",884.64,650
"Harold Engle",883.5320000000002,651
"Sally Knutson",883.409,652
"Sung Shariari",883.22,653
"Jim Mitchum",864.9470000000001,654
"Jocasta Rupert",863.88,655
"Art Foster",861.5649999999999,656
"Jenna Caffey",859.648,657
"Julie Creighton",858.576,658
"Michael Stewart",855.1160000000001,659
"Ryan Crowe",850.192,660
"Catherine Glotzbach",847.6519999999999,661
"Charles Sheldon",844.4580000000001,662
"Ann Steele",833.398,663
"Todd Boyes",822.136,664
"Vicky Freymann",819.784,665
"Thomas Brumley",816.174,666
"Richard Eichhorn",815.152,667
"Alice McCarthy",814.0120000000001,668
"Brendan Murry",808.1619999999999,669
"David Kendrick",797.832,670
"Matthew Clasen",795.1540000000001,671
"Beth Fritzler",791.9899999999999,672
"Harry Greene",785.628,673
"Erica Hackney",780.27,674
"Michael Granlund",776.384,675
"Muhammed MacIntyre",775.4140000000001,676
"Sandra Flanagan",763.5459999999998,677
"Steven Ward",758.696,678
"Liz Pelletier",756.606,679
"Dorris liebe",755.602,680
"Ivan Gibson",744.574,681
"Ritsa Hightower",740.382,682
"Angele Hood",738.504,683
"Henry MacAllister",736.276,684
"Barry Blumstein",735.52,685
"Patricia Hirasaki",729.648,686
"Pete Armstrong",729.408,687
"Jennifer Jackson",709.1780000000001,688
"Julia Dunbar",695.4420000000001,689
"Vivek Gonzalez",694.2900000000001,690
"Tracy Collins",692.518,691
"Peter Bühler",688.324,692
"Eric Hoffmann",684.171,693
"Michelle Lonsdale",681.242,694
"Patrick Bzostek",668.7560000000001,695
"Alex Grayson",660.972,696
"Berenike Kampe",659.138,697
"Bryan Davis",658.466,698
"Anna Chung",657.316,699
"Anthony Witt",649.376,700
"Toby Ritter",645.072,701
"Lori Olson",644.35,702
"Joy Bell-",644.1188,703
"Mathew Reese",639.178,704
"Astrea Jones",629.2479999999999,705
"Ralph Ritter",615.932,706
"Carol Darley",614.982,707
"Shirley Schmidt",613.4000000000001,708
"Bobby Trafton",603.876,709
"Barbara Fisher",585.8080000000001,710
"Denise Leinenbach",585.02,711
"Brian Derr",582.646,712
"Alan Shonely",574.24,713
"Neil Knudson",572.048,714
"Carlos Meador",565.392,715
"Chuck Sachs",550.6440000000001,716
"Cari Schnelling",537.6320000000001,717
"John Huston",528.9100000000001,718
"Andy Yotov",497.01400000000007,719
"Rob Beeghly",476.802,720
"Corey Roper",475.9,721
"MaryBeth Skach",475.65599999999995,722
"Joni Sundaresam",469.169,723
"Erin Creighton",461.914,724
"Khloe Miller",453.538,725
"Tim Taslimi",439.5,726
"Shui Tom",433.34,727
"Vivek Grady",427.372,728
"Maria Zettner",424.038,729
"Sonia Sunley",418.49,730
"Brad Thomas",415.19599999999997,731
"Joy Daniels",385.43,732
"Jason Klamczynski",383.812,733
"Vivian Mathis",380.69,734
"Neil Französisch",377.16200000000003,735
"Melanie Seite",370.348,736
"Lycoris Saunders",368.88,737
"Evan Minnotte",366.822,738
"Mark Haberlin",358.146,739
"Heather Jas",358.1,740
"Aleksandra Gannaway",349.26,741
"Don Weiss",344.08000000000004,742
"Brendan Dodson",320.53999999999996,743
"Lisa Hazard",318.239,744
"Jill Matthias",303.948,745
"Chuck Magee",287.98999999999995,746
"Larry Hughes",287.426,747
"Sung Chung",280.632,748
"Stuart Calhoun",279.256,749
"Jennifer Halladay",276.385,750
"Nicole Brennan",273.87199999999996,751
"Bart Folk",272.95,752
"Dorothy Dickinson",269.54200000000003,753
"Brad Norvell",265.296,754
"Andrew Roberts",264.86400000000003,755
"Larry Tron",255.524,756
"Harold Dahlen",251.36,757
"Paul Lucas",239.48100000000002,758
"Kelly Williams",236.156,759
"Sally Matthias",233.134,760
"Erin Mull",228.99,761
"Guy Thornton",226.43599999999998,762
"Guy Phonely",221.79999999999998,763
"Robert Barroso",221.08399999999997,764
"Allen Goldenen",200.945,765
"Joel Jenkins",195,766
"Hilary Holden",188.108,767
"Muhammed Lee",162.232,768
"Anthony O'Donnell",161.28,769
"Michael Oakman",154.288,770
"Pete Takahito",153.9,771
"Greg Hansen",146.94080000000002,772
"Anthony Garverick",137.296,773
"Phillip Breyer",132.738,774
