customer_name,highest_order_value
"Darrin Van Huff",721.875
"Stewart Carmichael",718.116
"Ken Dana",717.72
"Justin Ritter",717.12
"Steve Chapman",714.3
"John Castell",705.544
"Nat Carroll",704.76
"Ritsa Hightower",704.76
"John Grady",704.25
"Max Engle",701.96
"Roy Phan",699.98
"Alyssa Crouse",698.352
"Jason Gross",695.16
"Benjamin Farhat",692.94
"Hallie Redmond",687.4
"Cindy Chapman",686.4
"Patricia Hirasaki",683.952
"Becky Castell",681.408
"Chad McGuire",677.58
"Bruce Degenhardt",675.06
"Matt Connell",674.058
"Helen Andreada",671.93
"Aaron Hawkins",668.16
"Max Ludwig",663.936
"Tony Sayre",662.88
"Art Ferguson",662.84
"Barry Franz",659.976
"Dorris liebe",658.746
"Randy Bradley",657.93
"Cyma Kinney",652.45
"Tracy Poddar",650.352
"Sonia Cooley",647.84
"Liz MacKendrick",646.776
"Chris Selesnick",646.74
"Darren Koutras",646.2
"Benjamin Venier",643.136
"Laurel Elliston",641.96
"Lena Hernandez",638.82
"Ashley Jarboe",638.73
"Beth Paige",638.288
"Chris Cortes",637.896
"Sam Zeldin",637.44
"Vicky Freymann",634.116
"Tim Brockman",631.96
"Magdelene Morse",631.782
"Giulietta Weimer",631.176
"Odella Nelson",630.024
"Sally Knutson",629.958
"Ken Brennan",629.95
"Gene McClure",629.93
"Chad Cunningham",627.168
"Mick Brown",627.168
"Russell D'Ascenzo",623.96
"David Smith",622.45
"Christine Sundaresam",619.95
"Charlotte Melton",607.52
"Luke Schmidt",605.34
"Patrick O'Donnell",604.752
"Peter Bühler",604.656
"Tracy Zic",603.92
"Vivek Sundaresam",602.651
"Kalyca Meade",601.65
"Joy Smith",600.558
"Erin Ashbrook",599.99
"Katrina Edelman",599.9
"Katherine Nockton",598.458
"Patrick Gardner",595
"Michelle Lonsdale",595
"Duane Benoit",594.816
"Carl Weiss",592.74
"Nancy Lomonaco",590.352
"Jim Radford",590.058
"Evan Henry",588.784
"Carlos Soltero",585.552
"Bart Pistole",583.8
"Nat Gilpin",579.51
"Steven Ward",579.136
"Helen Abelman",579.136
"Sam Craven",577.584
"Laurel Workman",575.92
"Jay Kimmel",573.174
"Eric Murdock",572.8
"Candace McMahon",572.58
"Mike Kennedy",571.44
"Patrick Ryan",568.728
"Parhena Norris",563.94
"Valerie Takahito",563.808
"Barry Pond",563.4
"Cindy Schnelling",562.2925
"Andy Gerbode",559.71
Corey-Lock,558.4
"Annie Zypern",557.728
"Herbert Flentye",556.665
"Susan Vittorini",552
"Maureen Fritzler",551.985
"Victor Preis",546.06
"Tony Molinari",543.92
"Raymond Messe",542.94
"Emily Grady",542.646
"Nathan Gelder",540.048
"Thomas Thornton",537.544
"Steve Nguyen",532.3992
"Denny Blanton",526.45
"Eric Barreto",526.344
"Alex Russell",523.764
"Ralph Ritter",520.464
"Roland Fjeld",519.96
"Chuck Clark",518.272
"Sean Wendt",517.9
"Andrew Gjertsen",516.96
"Michelle Tran",514.165
"Cathy Armstrong",513.024
"Theresa Coyne",512.96
"Ryan Akin",505.176
"Henry MacAllister",503.96
"Paul Gonzalez",503.96
"Nick Radford",503.96
"Bryan Spruell",501.81
"Allen Armold",499.98
"Eudokia Martin",494.97
"Monica Federle",494.97
"Elizabeth Moffitt",492.768
"Maurice Satty",491.55
"Bruce Geld",486.368
"Dan Lawera",483.136
"Dorothy Wardle",482.94
"Christine Abelman",481.32
"Julie Prescott",481.32
"Joni Blumstein",479.988
"Karl Braun",479.984
"Alejandro Ballentine",479.984
"Cari Schnelling",479.984
"Andrew Allen",479.97
"Aimee Bixby",479.97
"Marina Lichtenstein",479.97
"Bryan Mills",475.944
"Philip Brown",464.85
"Sibella Parks",459.95
"Noel Staavos",458.43
"Bradley Nguyen",454.9
"Toby Swindell",454.86
"Jesus Ocampo",453.576
"Liz Pelletier",451.152
"Carlos Meador",451.136
"Astrea Jones",449.15
"Matthew Clasen",449.15
"Debra Catini",447.944
"Frank Gastineau",447.86
"Catherine Glotzbach",447.696
"Cyra Reiten",438.336
"Anne Pryor",437.472
"Rob Haberlin",435.504
"Greg Guthrie",435.168
"Dennis Bolton",434.646
"Susan MacKendrick",431.976
"Clytie Kelty",431.16
"Sally Hughsby",424.9575
"Theresa Swint",422.058
"Ross DeVincentis",419.4
"Katrina Bavinger",419.4
"Mark Van Huff",415.872
"Jamie Frazer",415.176
"Saphhira Shifley",411.98
"Tony Chapman",411.8
"Duane Huffman",411.332
"David Kendrick",408.744
"Maria Bertelson",408.006
"Pamela Stobb",399.54
"Erica Hernandez",398.352
"Denise Leinenbach",393.54
"Kimberly Carter",390.272
"Fred McMath",389.97
"Tracy Collins",389.97
"Jim Sink",389.056
"Jennifer Braxton",387.99
"Angele Hood",383.96
"Jim Mitchum",383.952
"Roy Französisch",383.64
"Nona Balk",383.438
"Tiffany House",381.576
"Adrian Hane",377.45
"Denny Ordway",375.4575
"Maria Zettner",371.97
"Ivan Gibson",370.14
"Rachel Payne",369.1992
"Darren Powers",368.91
"Delfina Latchford",361.92
"Beth Fritzler",361.376
"Paul Stevenson",359.32
"Brad Thomas",355.96
"Bobby Trafton",353.568
"Art Foster",349.965
"Mathew Reese",347.97
"Barry Blumstein",344.704
"Phillina Ober",344.372
"Aaron Bergman",341.96
"Chad Sievert",340.144
"Lena Cacioppo",339.96
"Pete Armstrong",339.96
"Logan Haushalter",338.04
"Xylona Preis",337.088
"Ann Steele",336.51
"Brian DeCherney",333.09
"Vivek Grady",331.536
"Roy Collins",328.224
"Erica Hackney",327.996
"Joy Bell-",327.7328
"Tim Taslimi",323.1
"Kelly Andreada",321.568
"Ted Butterfield",319.41
"Carol Darley",318.96
"David Wiener",318.43
"Sarah Jordon",317.058
"Barbara Fisher",314.55
"Harry Greene",314.352
"Anthony Witt",310.88
"Jennifer Jackson",307.98
"Joni Wasserman",304.45
"Alan Barnes",304.23
"Todd Boyes",302.94
"Doug O'Connell",302.94
"Jonathan Howell",302.376
"MaryBeth Skach",301.96
"Evan Minnotte",298.116
"Julie Creighton",292.272
"Jeremy Farry",291.168
"Sung Shariari",290.352
"Corey Roper",289.2
"Chuck Sachs",287.97
"Matt Collins",285.552
"Charles Sheldon",285.48
"Neil Knudson",284.08
"Stephanie Phelps",279.96
"Lynn Smith",279.96
"Shirley Schmidt",279.86
"Toby Ritter",278.4
"Ryan Crowe",275.49
"Larry Hughes",271.96
"Neil Französisch",269.98
"Roger Demir",268.704
"Jason Klamczynski",267.96
"Michael Stewart",255.968
"Sandra Flanagan",254.9
"Joni Sundaresam",254.744
"Erin Creighton",249.95
"Lori Olson",247.44
"Darrin Sayre",242.94
"George Bell",241.92
"Mark Haberlin",241.5
"Bryan Davis",240.784
"Alice McCarthy",239.97
"Richard Eichhorn",239.9
"Melanie Seite",239.372
"Scot Wooten",239.358
"Sung Chung",237.096
"Brian Derr",232.4
"Brendan Murry",231.98
"Aleksandra Gannaway",230.28
"John Huston",228.92
"Julia Dunbar",221.16
"Jason Fortune-",220.96
"Berenike Kampe",214.95
"Vivek Gonzalez",211.168
"Muhammed MacIntyre",207.984
"Guy Armstrong",205.666
"Larry Tron",201.584
"Anna Chung",201.584
"Sonia Sunley",199.99
"Patrick Bzostek",199.9
"Rob Beeghly",198.744
"Lycoris Saunders",197.372
"Khloe Miller",196.776
"Alex Grayson",182.55
"Harold Engle",174.95
"Christina DeMoss",169.68
"Brad Norvell",166.84
"Heather Jas",163.88
"Anthony O'Donnell",161.28
"Stuart Calhoun",159.984
"Erin Mull",159.98
"Michael Granlund",156.792
"Brendan Dodson",151.96
"Nicole Brennan",143.952
"Alan Shonely",142.776
"Shui Tom",139.44
"Joy Daniels",132.6
"Vivian Mathis",129.98
"Bobby Odegard",124.75
"Jennifer Halladay",120
"Joel Jenkins",119.96
"Don Weiss",119.96
"Anthony Garverick",113.1
"Hilary Holden",109.92
"Lisa Hazard",107.982
"Kelly Williams",106.5
"Sally Matthias",106.344
"Jill Matthias",105.552
"Guy Phonely",104.9
"Harold Dahlen",104.58
"Eric Hoffmann",100.704
"Andy Yotov",97.184
"Bart Folk",94.85
"Pete Takahito",93.456
"Andrew Roberts",89.97
"Ed Ludwig",86.62
"Paul Lucas",83.976
"Dorothy Dickinson",79.984
"Muhammed Lee",79.98
"Greg Hansen",78.8528
"Roland Murray",71.97
"Allen Goldenen",71.28
"Phillip Breyer",69.93
"Guy Thornton",61.06
"Robert Barroso",58.58
"Chuck Magee",56.686
"Anemone Ratner",51.75
"Michael Oakman",50.12
"Karen Seio",48.784
"Ricardo Emerson",48.36
"Clay Cheatham",47.976
"Jasper Cacioppo",47.94
"Barry Weirich",46.152
"Fred Wasserman",43.6
"Adrian Shami",41.28
"Dianna Arnett",40.08
"Larry Blacks",26.72
"Susan Gilcrest",19.648
"Carl Jackson",16.52
"Mitch Gastineau",12.32
"Roy Skaria",9.648
"Lela Donovan",5.304
"Thais Sissman",2.808
